,,,,invariance_execution_time_ms,invariance_num_clusters,invariance_num_clusters/ms,invariance_variance,invariance_variance*ms,isomorphism_execution_time_ms,isomorphism_check_count,isomorphism_num_clusters
0,0.25,1,no_invariant,34.5003604888916,1,0.02898520438132753,331749796,11445487554.11625,11576.68685913086,567151,454
0,0.25,1,node_label_histogram,1087.2440338134766,370,0.34030998422887254,25105594,27295907291.843414,1687.0994567871094,22197,454
0,0.25,1,node_label_with_edges_histogram,482.16915130615234,428,0.8876552944969353,24870514,11991794627.92778,1654.6220779418945,21631,454
0,0.25,1,edge_label_with_nodes_histogram,395.7326412200928,439,1.1093348242553573,18420912,7289756159.442902,1477.6806831359863,17808,454
0,0.25,1,weisfeiler_lehman_graph_hash_(1),542.1218872070312,453,0.8356054435171764,18395922,9972831951.553345,1487.5431060791016,17764,454
0,0.25,1,weisfeiler_lehman_graph_hash_(2),752.587080001831,454,0.6032524502000425,18395906,13844521180.528164,1493.746280670166,17760,454
0,0.25,1,weisfeiler_lehman_graph_hash_(3),990.0970458984375,454,0.4585409095812721,18395906,18213732187.22534,1476.9179821014404,17760,454
0,0.25,2,no_invariant,17.068147659301758,1,0.05858866585648633,331749796,5662354504.071236,10977.335929870605,515699,423
0,0.25,2,node_label_histogram,128.8740634918213,349,2.708070115459256,24998852,3221703639.8706436,1631.6728591918945,20555,423
0,0.25,2,node_label_with_edges_histogram,420.4287528991699,405,0.9633023365010667,24743640,10402937707.386017,1612.2064590454102,20118,423
0,0.25,2,edge_label_with_nodes_histogram,341.9218063354492,408,1.1932552777863001,17992254,6151943987.726212,1513.3845806121826,17839,423
0,0.25,2,weisfeiler_lehman_graph_hash_(1),546.9193458557129,421,0.7697661514264067,17969742,9827999539.83593,1499.924898147583,17795,423
0,0.25,2,weisfeiler_lehman_graph_hash_(2),766.4237022399902,422,0.5506092762614734,17969734,13772430060.547829,1499.7639656066895,17793,423
0,0.25,2,weisfeiler_lehman_graph_hash_(3),992.0756816864014,423,0.42637876102451605,17969690,17827292456.44331,1510.0297927856445,17791,423
0,0.25,3,no_invariant,13.802289962768555,1,0.0724517455217564,331749796,4578906879.481316,12111.064434051514,569578,426
0,0.25,3,node_label_histogram,140.64645767211914,346,2.4600690676946133,25263162,3553174244.8968887,1701.1330127716064,21735,426
0,0.25,3,node_label_with_edges_histogram,486.8452548980713,402,0.8257243876889896,24978070,12160454856.011868,1660.205602645874,20981,426
0,0.25,3,edge_label_with_nodes_histogram,369.3804740905762,411,1.1126738656446098,18436464,6810069812.87384,1521.3289260864258,17829,426
0,0.25,3,weisfeiler_lehman_graph_hash_(1),534.1732501983643,424,0.7937499675293519,18425264,9842283156.642914,1527.2607803344727,17792,426
0,0.25,3,weisfeiler_lehman_graph_hash_(2),778.8543701171875,425,0.5456732558822953,18425248,14350584925.292969,1523.2887268066406,17790,426
0,0.25,3,weisfeiler_lehman_graph_hash_(3),995.1529502868652,426,0.42807490032280987,18425196,18335888159.01375,1525.2540111541748,17788,426
0,0.5,1,no_invariant,58.28237533569336,1,0.017157845647851947,1327072041,77344910791.06665,21729.518175125122,1147933,555
0,0.5,1,node_label_histogram,278.14507484436035,449,1.6142655060537876,101213493,28152034585.74414,3277.8680324554443,40488,555
0,0.5,1,node_label_with_edges_histogram,19026.634454727173,529,0.02780313046212804,100399597,1910266431520.9229,3251.5411376953125,39736,555
0,0.5,1,edge_label_with_nodes_histogram,685.7900619506836,532,0.775747607783586,73521129,50420059611.5942,3116.600513458252,35960,555
0,0.5,1,weisfeiler_lehman_graph_hash_(1),1116.1766052246094,553,0.4954413104624418,73433999,81965311711.88736,3117.4309253692627,35879,555
0,0.5,1,weisfeiler_lehman_graph_hash_(2),1567.0287609100342,554,0.3535353107866832,73433911,115073050563.10773,3201.3497352600098,35875,555
0,0.5,1,weisfeiler_lehman_graph_hash_(3),2028.3615589141846,555,0.27361985715066534,73433875,148950449172.10938,3146.0931301116943,35874,555
0,0.5,2,no_invariant,50.54068565368652,1,0.019786039446559395,1327072041,67071130863.977196,21915.42100906372,1186270,570
0,0.5,2,node_label_histogram,257.20882415771484,455,1.7689906304342184,100135247,25755669137.612343,3305.5050373077393,41304,570
0,0.5,2,node_label_with_edges_histogram,846.1978435516357,537,0.6346033662129414,99238133,83975094142.69041,3274.3513584136963,40424,570
0,0.5,2,edge_label_with_nodes_histogram,714.5905494689941,551,0.7710709306321546,72783475,52010383392.5128,3045.4511642456055,35941,570
0,0.5,2,weisfeiler_lehman_graph_hash_(1),1073.8892555236816,568,0.5289185985225404,72716909,78089907269.9933,3055.171489715576,35872,570
0,0.5,2,weisfeiler_lehman_graph_hash_(2),1583.02640914917,569,0.3594380969966387,72716711,115112473899.46794,3041.9933795928955,35861,570
0,0.5,2,weisfeiler_lehman_graph_hash_(3),2011.5785598754883,570,0.28335955222911186,72716627,146275207819.66306,3049.7961044311523,35859,570
0,0.5,3,no_invariant,55.27758598327637,1,0.018090515029048827,1327072041,73357338852.37956,20644.898653030396,1066122,560
0,0.5,3,node_label_histogram,250.0436305999756,447,1.7876880083984976,100254229,25067931402.16136,3298.550605773926,42438,560
0,0.5,3,node_label_with_edges_histogram,859.7428798675537,524,0.6094845473808681,99289455,85363401982.17989,3263.9365196228027,41092,560
0,0.5,3,edge_label_with_nodes_histogram,715.3730392456055,538,0.7520551802837668,73264451,52411412980.53074,3045.7913875579834,35958,560
0,0.5,3,weisfeiler_lehman_graph_hash_(1),1077.087640762329,558,0.5180636922034172,73168807,78809217709.02419,3023.568630218506,35877,560
