,,,,invariance_execution_time_ms,invariance_num_clusters,invariance_num_clusters/ms,invariance_variance,invariance_variance*ms
0,0.25,1,no_invariant,16.06011390686035,1,0.06226605899556123,331749796,5327939512.337685
0,0.25,1,vertex_count,30.804157257080078,12,0.38955780870265166,229015130,7054618078.7706375
0,0.25,1,edge_count,943.950891494751,15,0.01589065716781879,228407920,215605859708.46176
0,0.25,1,vertex_degrees,78.58705520629883,68,0.8652824542349022,222844300,17512677306.509018
0,0.25,1,rank,883.7127685546875,11,0.012447483380816714,253584510,224095869394.68384
0,0.25,1,edge_label_histogram,158.39481353759766,99,0.6250204649314525,199573588,31611421258.289337
0,0.25,1,node_label_histogram,110.8248233795166,343,3.094974479006439,25227368,2795818602.930069
0,0.25,1,node_label_with_edges_histogram,378.0946731567383,398,1.0526464091045524,24973822,9442469066.56456
0,0.25,1,edge_label_with_nodes_histogram,298.8588809967041,403,1.3484625206919796,18365274,5488625236.837864
0,0.25,1,weisfeiler_lehman_graph_hash_(1),505.55992126464844,418,0.8268060469555835,18336982,9270443176.151276
0,0.25,1,weisfeiler_lehman_graph_hash_(2),692.2614574432373,419,0.6052626438968781,18336962,12693972039.20126
0,0.25,1,weisfeiler_lehman_graph_hash_(3),961.6553783416748,420,0.43674689442726183,18336942,17633818896.639347
0,0.25,2,no_invariant,17.10057258605957,1,0.05847757406761938,331749796,5673111466.908455
0,0.25,2,vertex_count,16.085386276245117,11,0.6838505343353046,227910204,3666023667.637825
0,0.25,2,edge_count,92.17023849487305,14,0.15189284771980652,227183248,20939534150.19989
0,0.25,2,vertex_degrees,78.2005786895752,64,0.8184082659292615,221471586,17319206188.49802
0,0.25,2,rank,863.5907173156738,9,0.010421603451198483,253702016,219094705981.87256
0,0.25,2,edge_label_histogram,172.3637580871582,90,0.5221515299897918,198913534,34285484254.63772
0,0.25,2,node_label_histogram,126.61480903625488,339,2.6774119281965727,24542484,3107441924.935341
0,0.25,2,node_label_with_edges_histogram,376.19495391845703,395,1.0499875021864835,24360434,9164272346.063614
0,0.25,2,edge_label_with_nodes_histogram,313.7931823730469,402,1.2810985788789069,18013286,5652446338.935852
0,0.25,2,weisfeiler_lehman_graph_hash_(1),518.4342861175537,416,0.8024160653326717,17989834,9326546747.163296
0,0.25,2,weisfeiler_lehman_graph_hash_(2),739.0758991241455,417,0.5642181005958562,17989828,13295848304.188728
0,0.25,2,weisfeiler_lehman_graph_hash_(3),939.3091201782227,418,0.44500792233411884,17989764,16897949395.053864
0,0.25,3,no_invariant,29.64949607849121,1,0.03372738603559051,331749796,9836214275.54226
0,0.25,3,vertex_count,15.624284744262695,12,0.7680351578593991,227830432,3559687542.9763794
0,0.25,3,edge_count,95.6881046295166,15,0.15675929686429382,227370310,21756634012.925625
0,0.25,3,vertex_degrees,64.00346755981445,67,1.046818282734215,221820274,14197266711.068153
0,0.25,3,rank,850.0885963439941,11,0.01293982773949455,254487434,216336865556.24484
0,0.25,3,edge_label_histogram,156.79073333740234,98,0.6250369388164737,199506330,31280743786.153793
0,0.25,3,node_label_histogram,127.52652168273926,366,2.869991239238341,24857440,3169982861.13739
0,0.25,3,node_label_with_edges_histogram,390.78712463378906,427,1.0926665007199161,24613414,9618605284.481049
0,0.25,3,edge_label_with_nodes_histogram,301.0838031768799,436,1.4481018088636934,18232616,5489545367.143631
0,0.25,3,weisfeiler_lehman_graph_hash_(1),501.5606880187988,447,0.8912181729506802,18217534,9137198887.04586
0,0.25,3,weisfeiler_lehman_graph_hash_(2),724.3058681488037,448,0.6185232229928054,18217502,13195043601.612568
0,0.25,3,weisfeiler_lehman_graph_hash_(3),930.4676055908203,449,0.48255307041549056,18217486,16950780578.30429
0,0.5,1,no_invariant,46.875953674316406,1,0.021332899314385693,1327072041,62207767516.39652
0,0.5,1,vertex_count,63.532352447509766,12,0.18888014590541666,911068499,57882324982.2917
0,0.5,1,edge_count,188.03644180297852,17,0.09040800728303676,908964061,170918367757.22552
0,0.5,1,vertex_degrees,172.57404327392578,80,0.463569135208917,886060151,152910982841.97522
0,0.5,1,rank,1705.3136825561523,12,0.007036828545240307,1014493545,1730029723153.3958
0,0.5,1,edge_label_histogram,370.93520164489746,131,0.35316141315002103,797322835,295755106576.80634
0,0.5,1,node_label_histogram,230.5595874786377,482,2.0905658501174207,100774849,23234607613.662003
0,0.5,1,node_label_with_edges_histogram,744.3785667419434,560,0.752305379305927,99881483,74349635159.59978
0,0.5,1,edge_label_with_nodes_histogram,626.5356540679932,570,0.9097646659038213,73140769,45825299544.451
0,0.5,1,weisfeiler_lehman_graph_hash_(1),1001.2285709381104,591,0.590274805528429,73024175,73113890379.18448
0,0.5,1,weisfeiler_lehman_graph_hash_(2),1442.66676902771,592,0.4103511723632342,73024105,105349449621.49023
0,0.5,1,weisfeiler_lehman_graph_hash_(3),1912.219524383545,593,0.3101108384463177,73024033,139637981651.82828
0,0.5,2,no_invariant,46.95606231689453,1,0.021296504661128826,1327072041,62314077456.204414
0,0.5,2,vertex_count,46.869754791259766,14,0.29870009054561364,916591671,42960426863.48105
0,0.5,2,edge_count,189.44668769836426,18,0.09501353768010702,913520249,173063385318.43497
0,0.5,2,vertex_degrees,188.46654891967773,79,0.41917252930475685,892774249,168258081673.38705
0,0.5,2,rank,1701.4331817626953,14,0.0082283572167647,1019670899,1734901902036.398
0,0.5,2,edge_label_histogram,344.4223403930664,125,0.36292651590876995,799916977,275509277338.4867
0,0.5,2,node_label_histogram,221.04787826538086,450,2.0357580607932766,100331033,22177961968.82391
