,,,,invariance_execution_time_ms,invariance_num_clusters,invariance_num_clusters/ms,invariance_variance,invariance_variance*ms
0,0.5,2,node_label_with_edges_histogram,786.2162590026855,532,0.6766586087584113,99519983,78244228730.27086
0,0.5,2,edge_label_with_nodes_histogram,633.6054801940918,541,0.8538436249545631,73163511,46356801519.84071
0,0.5,2,weisfeiler_lehman_graph_hash_(1),1004.2533874511719,560,0.5576281912489222,73106389,73417338797.57309
0,0.5,2,weisfeiler_lehman_graph_hash_(2),1447.5064277648926,561,0.3875630458278828,73106329,105821881137.79497
0,0.5,2,weisfeiler_lehman_graph_hash_(3),1907.1438312530518,562,0.2946814974257861,73106265,139424162320.7009
0,0.5,3,no_invariant,50.41217803955078,1,0.019836476797639092,1327072041,66900592002.202034
0,0.5,3,vertex_count,48.35820198059082,14,0.28950621459455994,916038837,44297991101.71151
0,0.5,3,edge_count,184.95583534240723,18,0.09732053042109619,913279321,168916339716.50146
0,0.5,3,vertex_degrees,157.90319442749023,79,0.5003065345601803,892034491,140855095668.4003
0,0.5,3,rank,1671.480655670166,13,0.007777535418014013,1017515427,1700757353076.469
0,0.5,3,edge_label_histogram,345.9959030151367,121,0.34971512363458956,802894281,277798131780.28394
0,0.5,3,node_label_histogram,5654.662370681763,445,0.07869612203678712,100885259,570472077823.7837
0,0.5,3,node_label_with_edges_histogram,754.4331550598145,527,0.6985376987550571,99927603,75388696808.85458
0,0.5,3,edge_label_with_nodes_histogram,643.2690620422363,540,0.8394621035956867,73459557,47254260329.42819
0,0.5,3,weisfeiler_lehman_graph_hash_(1),976.7394065856934,560,0.5733361388146971,73377927,71671112874.46832
0,0.5,3,weisfeiler_lehman_graph_hash_(2),1465.2173519134521,561,0.382878348572231,73377801,107514427270.45226
0,0.5,3,weisfeiler_lehman_graph_hash_(3),1937.3774528503418,562,0.2900828639112965,73377693,142160287960.37436
0,1.0,1,no_invariant,107.23710060119629,1,0.009325130895872473,5308433881,569261058131.5958
0,1.0,1,vertex_count,126.6181468963623,14,0.11056866920868051,3649612625,462107187467.0684
0,1.0,1,edge_count,376.2385845184326,18,0.04784198309442169,3640400871,1369659270784.7092
0,1.0,1,vertex_degrees,361.10615730285645,91,0.25200345704346194,3554482249,1283545426137.605
0,1.0,1,rank,3300.726890563965,14,0.004241489969988989,4064326171,13415230684642.576
0,1.0,1,edge_label_histogram,706.3415050506592,149,0.21094612016224878,3192093307,2254707990728.5156
0,1.0,1,node_label_histogram,439.76378440856934,590,1.341629349477881,401886351,176735062617.9106
0,1.0,1,node_label_with_edges_histogram,1545.562505722046,705,0.45614460585703887,398031917,615183206995.8694
0,1.0,1,edge_label_with_nodes_histogram,1258.9812278747559,726,0.5766567315904594,293224391,369164003824.0075
0,1.0,1,weisfeiler_lehman_graph_hash_(1),1999.3431568145752,752,0.37612352708782276,292852707,585513055695.0739
0,1.0,1,weisfeiler_lehman_graph_hash_(2),2943.218469619751,753,0.25584237384093467,292852347,861928436561.8922
0,1.0,1,weisfeiler_lehman_graph_hash_(3),3861.6247177124023,754,0.1952546026913418,292851927,1130884239932.908
0,1.0,2,no_invariant,95.5209732055664,1,0.010468905062848814,5308433881,507066770510.5219
0,1.0,2,vertex_count,139.59288597106934,14,0.10029164382274827,3649612625,509459959000.2
0,1.0,2,edge_count,362.66589164733887,18,0.049632459005831846,3640400871,1320249227834.964
0,1.0,2,vertex_degrees,363.07382583618164,91,0.25063773129451383,3554482249,1290539469011.2253
0,1.0,2,rank,3308.154582977295,14,0.004231966689839562,4064326171,13445419249308.21
0,1.0,2,edge_label_histogram,676.2440204620361,149,0.22033466543363656,3192093307,2158634011615.6365
0,1.0,2,node_label_histogram,434.63802337646484,590,1.3574514153561923,401886351,174675089220.62015
0,1.0,2,node_label_with_edges_histogram,1558.3806037902832,705,0.45239269423997164,398031917,620285219142.2639
0,1.0,2,edge_label_with_nodes_histogram,1228.1551361083984,726,0.5911305328253925,293224391,360125041838.9072
0,1.0,2,weisfeiler_lehman_graph_hash_(1),1958.9829444885254,752,0.383872663167234,292852707,573693458260.2954
0,1.0,2,weisfeiler_lehman_graph_hash_(2),2974.867582321167,753,0.25312051012787096,292852347,871196953496.9695
0,1.0,2,weisfeiler_lehman_graph_hash_(3),3851.6764640808105,754,0.19575891356179614,292851927,1127970874686.6116
0,1.0,3,no_invariant,116.5463924407959,1,0.008580274164281726,5308433881,618678818341.0432
0,1.0,3,vertex_count,133.52155685424805,14,0.10485198292948592,3649612625,487301959604.91895
0,1.0,3,edge_count,361.04488372802734,18,0.0498552972531783,3640400871,1314348109193.6045
0,1.0,3,vertex_degrees,360.75282096862793,91,0.2522502797224519,3554482249,1282289498409.6628
0,1.0,3,rank,3291.0335063934326,14,0.0042539828211418836,4064326171,13375833609672.725
0,1.0,3,edge_label_histogram,710.120677947998,149,0.20982349145297136,3192093307,2266771463240.107
0,1.0,3,node_label_histogram,456.46071434020996,590,1.2925537323684342,401886351,183445330861.04034
0,1.0,3,node_label_with_edges_histogram,1546.3149547576904,705,0.4559226422992685,398031917,615482705727.9718
0,1.0,3,edge_label_with_nodes_histogram,1290.410041809082,726,0.5626118648163874,293224391,378379698649.7526
0,1.0,3,weisfeiler_lehman_graph_hash_(1),1993.4370517730713,752,0.37723789639162686,292852707,583783436845.843
0,1.0,3,weisfeiler_lehman_graph_hash_(2),3021.566390991211,753,0.2492084907500516,292852347,884872809218.0958
0,1.0,3,weisfeiler_lehman_graph_hash_(3),3967.6268100738525,754,0.19003803434475866,292851927,1161927156946.9907
